idx, irony
2340, 1
133, 0
1756, 1
1976, 0
2367, 1
60, 0
844, 0
1894, 1
2012, 1
1136, 0
2676, 1
656, 0
140, 0
2132, 0
2007, 1
1342, 0
311, 1
1023, 0
1479, 0
182, 1
1721, 0
568, 0
2470, 0
1454, 0
1563, 0
1725, 1
1161, 0
2764, 0
1074, 1
1871, 1
715, 0
2809, 0
1241, 0
2710, 1
1485, 1
544, 1
980, 1
1800, 1
2512, 1
1536, 1
181, 1
2387, 1
16, 1
965, 1
548, 1
798, 1
1240, 1
2196, 0
1499, 0
983, 1
1287, 1
2730, 0
2248, 1
1845, 1
1785, 0
1925, 1
266, 1
2674, 1
2394, 1
1329, 1
2055, 0
640, 0
918, 0
1691, 0
976, 1
151, 1
130, 1
2034, 0
1233, 1
2484, 1
2694, 0
295, 1
2185, 1
331, 1
613, 0
1574, 1
2323, 0
1532, 0
2462, 1
462, 0
395, 0
1808, 0
681, 1
782, 1
1428, 0
1774, 1
1696, 1
1825, 1
1005, 1
2788, 0
1125, 0
587, 0
2528, 0
2137, 1
730, 1
489, 1
1093, 1
1866, 1
1239, 1
675, 1
