,idx,Marie,Frida,Magnus,Gustav,Viggo
0,16,1,1,0,0,0
1,60,0,0,0,0,0
2,130,1,1,1,1,1
3,133,0,0,0,0,0
4,140,1,1,1,1,1
5,151,0,1,0,0,0
6,181,0,1,1,0,0
7,182,1,0,0,0,0
8,266,1,0,0,1,0
9,295,0,0,0,0,1
10,311,1,1,1,1,1
11,331,0,0,0,0,0
12,395,0,0,0,1,0
13,462,0,1,1,1,0
14,489,1,1,1,1,1
15,544,0,0,1,0,0
16,548,1,1,0,1,0
17,568,0,0,0,0,0
18,587,0,0,0,0,0
19,613,1,1,1,1,1
20,640,0,1,0,1,1
21,656,0,0,0,0,0
22,675,0,0,0,1,1
23,681,0,0,0,1,0
24,715,0,1,1,1,1
25,730,1,0,0,0,0
26,782,0,0,0,0,0
27,798,0,0,0,0,0
28,844,1,1,0,0,1
29,918,1,0,0,0,0
30,965,0,0,0,0,0
31,976,0,0,0,0,0
32,980,0,0,0,0,0
33,983,1,1,1,1,1
34,1005,1,0,0,1,0
35,1023,1,0,0,0,0
36,1074,1,1,0,1,0
37,1093,1,0,1,1,1
38,1125,1,1,1,0,1
39,1136,1,1,1,0,1
40,1161,1,0,1,0,0
41,1233,1,0,1,0,0
42,1239,1,1,1,1,1
43,1240,1,1,1,1,1
44,1241,1,0,0,0,0
45,1287,1,1,1,1,1
46,1329,1,0,0,1,0
47,1342,0,0,0,0,0
48,1428,0,0,0,0,0
49,1454,1,1,1,1,1
50,1479,1,0,0,0,0
51,1485,0,1,0,0,1
52,1499,1,0,0,0,0
53,1532,1,1,1,1,1
54,1536,0,1,0,0,0
55,1563,1,1,1,0,1
56,1574,1,1,0,0,1
57,1691,1,0,1,0,0
58,1696,1,1,1,1,1
59,1721,1,1,1,1,1
60,1725,0,0,0,0,0
61,1756,0,0,0,1,0
62,1774,0,0,0,0,0
63,1785,0,0,0,0,0
64,1800,1,1,1,1,1
65,1808,1,1,0,0,0
66,1825,1,0,0,0,0
67,1845,0,0,0,0,0
68,1866,1,1,0,1,0
69,1871,1,1,1,1,1
70,1894,0,0,0,0,0
71,1925,1,0,1,1,0
72,1976,1,1,1,1,1
73,2007,1,1,1,1,1
74,2012,0,0,0,0,0
75,2034,1,1,1,1,1
76,2055,0,0,0,1,0
77,2132,0,0,0,1,1
78,2137,1,1,1,1,1
79,2185,0,0,0,0,0
80,2196,0,0,0,0,0
81,2248,0,0,0,0,0
82,2323,1,0,0,0,0
83,2340,1,0,0,0,1
84,2367,0,0,0,0,0
85,2387,1,0,0,1,1
86,2394,1,0,0,0,0
87,2462,1,0,0,1,1
88,2470,1,1,1,1,1
89,2484,0,1,0,1,0
90,2512,0,0,0,0,1
91,2528,0,0,0,0,0
92,2674,0,0,0,0,0
93,2676,1,1,1,1,1
94,2694,1,0,0,0,0
95,2710,1,1,1,0,1
96,2730,1,1,0,1,0
97,2764,1,1,1,1,1
98,2788,1,0,0,0,0
99,2809,1,0,0,1,0
